s,mph,hp,rpm,kw,torque_Nm
1.38,39.2,31.18,7106.31217,23.250926,31.24635366
1.38,39.21,31.24,7108.125005,23.295668,31.29849704
1.4,39.39,32.19,7140.75603,24.004083,32.10290223
1.4,39.4,32.24,7142.568865,24.041368,32.14460634
1.42,39.59,33.13,7177.012725,24.705041,32.87344618
1.42,39.6,33.18,7178.825559,24.742326,32.91474509
1.44,39.8,34.04,7215.082254,25.383628,33.59818209
1.44,39.81,34.08,7216.895089,25.413456,33.62921337
1.46,40.01,34.88,7253.151784,26.010016,34.24658138
1.46,40.02,34.92,7254.964618,26.039844,34.2772878
1.48,40.22,35.67,7291.221313,26.599119,34.83937403
1.48,40.23,35.7,7293.034148,26.62149,34.8600081
1.5,40.44,36.4,7331.103677,27.14348,35.35896441
1.5,40.45,36.44,7332.916512,27.173308,35.38906941
1.52,40.67,37.12,7372.798876,27.680384,35.85445251
1.52,40.68,37.15,7374.611711,27.702755,35.87460881
1.54,40.89,37.79,7412.681241,28.180003,36.30522073
1.54,40.9,37.82,7414.494075,28.202374,36.32515839
1.56,41.12,38.47,7454.37644,28.687079,36.7517802
1.56,41.13,38.5,7456.189274,28.70945,36.7714978
1.58,41.35,39.12,7496.071638,29.171784,37.16487123
1.58,41.36,39.14,7497.884473,29.186698,37.17488138
1.6,41.58,39.74,7537.766837,29.634118,37.54504922
1.6,41.59,39.77,7539.579672,29.656489,37.564358
1.62,41.81,40.34,7579.462036,30.081538,37.90225303
1.62,41.82,40.36,7581.274871,30.096452,37.91197674
1.64,42.04,40.88,7621.157235,30.484216,38.19948255
1.64,42.05,40.9,7622.97007,30.49913,38.20908239
1.66,42.29,41.37,7666.478104,30.849609,38.42882768
1.66,42.3,41.38,7668.290939,30.857066,38.42902971
1.68,42.53,41.75,7709.986137,31.132975,38.56296314
1.68,42.54,41.76,7711.798972,31.140432,38.5631325
1.7,42.78,42.05,7755.307006,31.356685,38.61308669
1.7,42.79,42.06,7757.119841,31.364142,38.61324335
1.72,43.02,42.24,7798.81504,31.498368,38.57116919
1.72,43.03,42.25,7800.627874,31.505825,38.57133472
1.74,43.26,42.36,7842.323073,31.587852,38.46615139
1.74,43.27,42.36,7844.135908,31.587852,38.45726159
1.76,43.49,42.41,7884.018272,31.625137,38.30788412
1.76,43.5,42.41,7885.831107,31.625137,38.29907771
1.78,43.73,42.45,7927.526306,31.654965,38.1335746
1.78,43.74,42.45,7929.339141,31.654965,38.12485636
1.8,43.97,42.51,7971.03434,31.699707,37.97903621
1.8,43.98,42.51,7972.847174,31.699707,37.97040069
1.82,44.2,42.62,8012.729539,31.781734,37.87917191
1.82,44.21,42.63,8014.542373,31.789191,37.87948955
1.84,44.43,42.82,8054.424738,31.930874,37.85991634
1.84,44.44,42.83,8056.237572,31.938331,37.86023666
1.86,44.67,43.11,8097.932771,32.147127,37.91153514
1.86,44.68,43.13,8099.745606,32.162041,37.92063436
1.88,44.9,43.46,8139.62797,32.408122,38.02355172
1.88,44.91,43.48,8141.440805,32.423036,38.03257939
1.9,45.14,43.88,8183.136004,32.721316,38.18689652
1.9,45.15,43.9,8184.948839,32.73623,38.19584003
1.92,45.37,44.29,8224.831203,33.027053,38.34830751
1.92,45.38,44.31,8226.644038,33.041967,38.35717012
1.94,45.61,44.68,8268.339237,33.317876,38.48242152
1.94,45.62,44.7,8270.152071,33.33279,38.49120811
1.96,45.85,45.02,8311.84727,33.571414,38.57229245
1.96,45.86,45.03,8313.660105,33.578871,38.57244751
1.98,46.1,45.28,8357.168139,33.765296,38.58467024
1.98,46.11,45.29,8358.980973,33.772753,38.58482178
2,46.34,45.46,8400.676172,33.899522,38.53742585
2,46.35,45.46,8402.489007,33.899522,38.52911141
2.02,46.58,45.58,8444.184206,33.989006,38.44006708
2.02,46.59,45.58,8445.997041,33.989006,38.43181637
2.04,46.82,45.65,8487.69224,34.041205,38.30175489
2.04,46.83,45.65,8489.505074,34.041205,38.293576
2.06,47.06,45.7,8531.200273,34.07849,38.14815841
2.06,47.07,45.7,8533.013108,34.07849,38.14005386
2.08,47.29,45.76,8572.895472,34.123232,38.01246226
2.08,47.3,45.76,8574.708307,34.123232,38.0044258
2.1,47.52,45.84,8614.590671,34.182888,37.89461309
2.1,47.53,45.84,8616.403506,34.182888,37.88664031
2.12,47.75,45.96,8656.28587,34.272372,37.81080679
2.12,47.76,45.96,8658.098705,34.272372,37.80288996
2.14,47.99,46.12,8699.793904,34.391684,37.75268539
2.14,48,46.13,8701.606739,34.399141,37.75300429
2.16,48.22,46.32,8741.489103,34.540824,37.73554658
2.16,48.23,46.32,8743.301938,34.540824,37.7277225
2.18,48.46,46.55,8784.997137,34.712335,37.73510612
2.18,48.47,46.56,8786.809971,34.719792,37.73542556
2.2,48.69,46.79,8826.692336,34.891303,37.75048806
2.2,48.7,46.8,8828.50517,34.89876,37.75080283
2.22,48.93,47.04,8870.200369,35.077728,37.76603554
2.22,48.94,47.05,8872.013204,35.085185,37.76634559
2.24,49.16,47.26,8911.895568,35.241782,37.76514385
2.24,49.17,47.27,8913.708403,35.249239,37.76545263
2.26,49.39,47.46,8953.590767,35.390922,37.74835302
2.26,49.4,47.46,8955.403602,35.390922,37.74071166
2.28,49.62,47.6,8995.285966,35.49532,37.68421674
2.28,49.63,47.61,8997.098801,35.502777,37.68453897
2.3,49.86,47.7,9038.794,35.56989,37.58161205
2.3,49.87,47.7,9040.606835,35.56989,37.57407613
2.32,50.09,47.74,9080.489199,35.599718,37.44041752
2.32,50.1,47.74,9082.302034,35.599718,37.43294438
2.34,50.33,47.73,9123.997233,35.592261,37.25407668
2.34,50.34,47.73,9125.810067,35.592261,37.24667619
2.36,50.56,47.68,9165.692431,35.554976,37.04575768
2.36,50.57,47.67,9167.505266,35.547519,37.03066391
2.38,50.79,47.59,9207.38763,35.487863,36.80838749
2.38,50.8,47.59,9209.200465,35.487863,36.80114174
2.4,51.01,47.49,9247.269995,35.413293,36.57262612
2.4,51.02,47.48,9249.082829,35.405836,36.55775822
2.42,51.24,47.37,9288.965194,35.323809,36.31646464
2.42,51.25,47.36,9290.778028,35.316352,36.30171344
2.44,51.46,47.24,9328.847558,35.226868,36.06196664
2.44,51.47,47.24,9330.660393,35.226868,36.05496023
2.46,51.68,47.12,9368.729922,35.137384,35.8172367
2.46,51.69,47.11,9370.542757,35.129927,35.80270765
2.48,51.9,46.99,9408.612286,35.040443,35.56701248
2.48,51.91,46.98,9410.425121,35.032986,35.55259321
2.5,52.13,46.85,9450.307485,34.936045,35.30458985
2.5,52.14,46.84,9452.12032,34.928588,35.29028452
