s,mph,hp,rpm,kw,torque_Nm
5.22,71.67,31.22,12992.58656,23.280754,17.11215851
5.22,71.68,31.2,12994.3994,23.26584,17.09881044
5.24,71.77,31.07,13010.71491,23.168899,17.00621273
5.24,71.78,31.05,13012.52774,23.153985,16.99289801
5.26,71.87,30.9,13028.84326,23.04213,16.88962997
5.26,71.88,30.89,13030.65609,23.034673,16.88181513
5.28,71.96,30.81,13045.15877,22.975017,16.81937462
5.28,71.97,30.81,13046.9716,22.975017,16.81703762
5.3,72.06,30.81,13063.28712,22.975017,16.79603383
5.3,72.07,30.82,13065.09995,22.982474,16.79915405
5.32,72.15,30.9,13079.60263,23.04213,16.82408463
5.32,72.16,30.92,13081.41546,23.057044,16.83264099
5.34,72.25,31.07,13097.73098,23.168899,16.89323027
5.34,72.26,31.08,13099.54381,23.176356,16.89632883
5.36,72.36,31.24,13117.67216,23.295668,16.95984064
5.36,72.37,31.25,13119.48499,23.303125,16.96292529
5.38,72.46,31.32,13135.80051,23.355324,16.979806
5.38,72.47,31.31,13137.61334,23.347867,16.97204234
5.4,72.56,31.25,13153.92885,23.303125,16.91850748
5.4,72.57,31.22,13155.74169,23.280754,16.89993662
5.42,72.66,31,13172.0572,23.1167,16.76006121
5.42,72.67,30.96,13173.87004,23.086872,16.73613198
5.44,72.75,30.64,13188.37271,22.848248,16.54493493
5.44,72.76,30.6,13190.18555,22.81842,16.52106486
5.46,72.85,30.19,13206.50106,22.512683,16.27956729
5.46,72.86,30.15,13208.3139,22.482855,16.2557664
5.48,72.95,29.79,13224.62941,22.214403,16.04185207
5.48,72.96,29.76,13226.44224,22.192032,16.02350063
5.5,73.04,29.56,13240.94492,22.042892,15.89838338
5.5,73.05,29.55,13242.75776,22.035435,15.8908294
5.52,73.13,29.51,13257.26043,22.005607,15.85195885
5.52,73.14,29.52,13259.07327,22.013064,15.8551625
5.54,73.22,29.65,13273.57595,22.110005,15.90758576
5.54,73.23,29.67,13275.38878,22.124919,15.91614226
5.56,73.31,29.87,13289.89146,22.274059,16.00594438
5.56,73.32,29.89,13291.70429,22.288973,16.01447696
5.58,73.4,30.03,13306.20697,22.393371,16.07194999
5.58,73.41,30.03,13308.01981,22.393371,16.06976065
5.6,73.49,29.96,13322.52248,22.341172,16.0148495
5.6,73.5,29.91,13324.33532,22.303887,15.9859472
5.62,73.59,29.44,13340.65083,21.953408,15.71550362
5.62,73.6,29.34,13342.46367,21.878838,15.65999415
5.64,73.68,28.53,13356.96634,21.274821,15.21112918
5.64,73.69,28.37,13358.77918,21.155509,15.12377054
5.66,73.78,26.9,13375.09469,20.05933,14.32263516
5.66,73.79,26.66,13376.90753,19.880362,14.19292589
5.68,73.87,24.73,13391.4102,18.441161,13.15119803
5.68,73.88,24.36,13393.22304,18.165252,12.95268182
5.7,73.95,21.75,13405.91288,16.218975,11.55394732
5.7,73.96,21.26,13407.72572,15.853582,11.2921245
5.72,74.02,18.21,13418.60273,13.579197,9.664294711
5.74,74.08,15.16,13429.47974,11.304812,0
